Sample in Buffer,Sample in Window,TRIGGER,protpg_inst/data_in[23:0],protpg_inst/hsv_h[8:0],protpg_inst/hsv_s[7:0],protpg_inst/hsv_v[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,UNSIGNED,UNSIGNED,UNSIGNED
567,567,0,484878,234,97,127
568,568,0,484478,232,108,118
569,569,0,484470,239,108,127
570,570,0,484470,239,116,127
571,571,0,484478,244,106,127
572,572,0,504478,244,106,118
573,573,0,504878,244,116,118
574,574,0,505078,244,116,127
575,575,0,505078,253,106,127
576,576,0,505078,249,94,127
577,577,0,504c70,242,94,127
578,578,0,504070,242,94,127
579,579,0,483860,242,84,127
580,580,0,403460,244,117,118
581,581,0,403458,260,107,118
582,582,0,403458,261,120,100
583,583,0,383050,254,106,100
584,584,0,383050,257,106,91
585,585,0,303050,257,106,91
586,586,0,383048,266,106,82
587,587,0,383048,266,106,82
588,588,0,303048,250,87,82
589,589,0,302c48,276,87,73
590,590,0,302c48,276,87,73
591,591,0,302c48,254,91,73
592,592,0,888498,256,91,73
593,593,0,888498,256,91,73
594,594,0,888498,256,36,73
595,595,0,888498,250,36,155
596,596,0,888498,250,36,155
597,597,0,888498,250,36,155
598,598,0,888498,250,36,155
599,599,0,888498,250,36,155
600,600,0,888498,250,36,155
601,601,0,888498,250,36,155
602,602,0,888498,250,36,155
603,603,0,888498,250,36,155
604,604,0,888498,250,36,155
605,605,0,888498,250,36,155
606,606,0,888498,250,36,155
607,607,0,888498,250,36,155
608,608,0,888498,250,36,155
609,609,0,888498,250,36,155
610,610,0,888498,250,36,155
611,611,0,888498,250,36,155
612,612,0,888498,250,36,155
613,613,0,888498,250,36,155
614,614,0,888498,250,36,155
615,615,0,888498,250,36,155
616,616,0,888498,250,36,155
617,617,0,888498,250,36,155
618,618,0,888498,250,36,155
619,619,0,888498,250,36,155
620,620,0,888498,250,36,155
621,621,0,888498,250,36,155
622,622,0,888498,250,36,155
623,623,0,888498,250,36,155
624,624,0,888498,250,36,155
625,625,0,888498,250,36,155
626,626,0,888498,250,36,155
627,627,0,888498,250,36,155
628,628,0,888498,250,36,155
629,629,0,888498,250,36,155
630,630,0,888498,250,36,155
631,631,0,888498,250,36,155
632,632,0,888498,250,36,155
633,633,0,888498,250,36,155
634,634,0,888498,250,36,155
635,635,0,888498,250,36,155
636,636,0,888498,250,36,155
637,637,0,888498,250,36,155
638,638,0,888498,250,36,155
639,639,0,888498,250,36,155
640,640,0,888498,250,36,155
641,641,0,888498,250,36,155
642,642,0,888498,250,36,155
643,643,0,888498,250,36,155
644,644,0,888498,250,36,155
645,645,0,888498,250,36,155
646,646,0,888498,250,36,155
647,647,0,888498,250,36,155
648,648,0,888498,250,36,155
649,649,0,888498,250,36,155
650,650,0,888498,250,36,155
651,651,0,888498,250,36,155
652,652,0,888498,250,36,155
653,653,0,888498,250,36,155
654,654,0,888498,250,36,155
655,655,0,888498,250,36,155
656,656,0,888498,250,36,155
657,657,0,888498,250,36,155
658,658,0,888498,250,36,155
659,659,0,888498,250,36,155
660,660,0,888498,250,36,155
661,661,0,888498,250,36,155
662,662,0,888498,250,36,155
663,663,0,888498,250,36,155
664,664,0,888498,250,36,155
665,665,0,888498,250,36,155
666,666,0,888498,250,36,155
667,667,0,888498,250,36,155
668,668,0,888498,250,36,155
669,669,0,888498,250,36,155
670,670,0,888498,250,36,155
671,671,0,888498,250,36,155
672,672,0,888498,250,36,155
673,673,0,888498,250,36,155
674,674,0,888498,250,36,155
675,675,0,888498,250,36,155
676,676,0,888498,250,36,155
677,677,0,888498,250,36,155
678,678,0,888498,250,36,155
679,679,0,888498,250,36,155
680,680,0,888498,250,36,155
681,681,0,888498,250,36,155
682,682,0,888498,250,36,155
683,683,0,888498,250,36,155
684,684,0,888498,250,36,155
685,685,0,888498,250,36,155
686,686,0,888498,250,36,155
687,687,0,888498,250,36,155
688,688,0,888498,250,36,155
689,689,0,888498,250,36,155
690,690,0,888498,250,36,155
691,691,0,888498,250,36,155
692,692,0,888498,250,36,155
693,693,0,888498,250,36,155
694,694,0,888498,250,36,155
695,695,0,888498,250,36,155
696,696,0,888498,250,36,155
697,697,0,888498,250,36,155
698,698,0,888498,250,36,155
699,699,0,888498,250,36,155
700,700,0,888498,250,36,155
701,701,0,888498,250,36,155
702,702,0,888498,250,36,155
703,703,0,888498,250,36,155
704,704,0,888498,250,36,155
705,705,0,888498,250,36,155
706,706,0,888498,250,36,155
707,707,0,888498,250,36,155
708,708,0,888498,250,36,155
709,709,0,888498,250,36,155
710,710,0,888498,250,36,155
711,711,0,888498,250,36,155
712,712,0,888498,250,36,155
713,713,0,888498,250,36,155
714,714,0,888498,250,36,155
715,715,0,888498,250,36,155
716,716,0,888498,250,36,155
717,717,0,888498,250,36,155
718,718,0,888498,250,36,155
719,719,0,888498,250,36,155
720,720,0,888498,250,36,155
721,721,0,888498,250,36,155
722,722,0,888498,250,36,155
723,723,0,888498,250,36,155
724,724,0,888498,250,36,155
725,725,0,888498,250,36,155
726,726,0,888498,250,36,155
727,727,0,888498,250,36,155
728,728,0,888498,250,36,155
729,729,0,888498,250,36,155
730,730,0,888498,250,36,155
731,731,0,888498,250,36,155
732,732,0,888498,250,36,155
733,733,0,888498,250,36,155
734,734,0,888498,250,36,155
735,735,0,888498,250,36,155
736,736,0,888498,250,36,155
737,737,0,888498,250,36,155
738,738,0,888498,250,36,155
739,739,0,888498,250,36,155
740,740,0,888498,250,36,155
741,741,0,888498,250,36,155
742,742,0,888498,250,36,155
743,743,0,888498,250,36,155
744,744,0,888498,250,36,155
745,745,0,888498,250,36,155
746,746,0,888498,250,36,155
747,747,0,888498,250,36,155
748,748,0,888498,250,36,155
749,749,0,888498,250,36,155
750,750,0,888498,250,36,155
751,751,0,888498,250,36,155
752,752,0,888498,250,36,155
753,753,0,888498,250,36,155
754,754,0,888498,250,36,155
755,755,0,888498,250,36,155
756,756,0,888498,250,36,155
757,757,0,888498,250,36,155
758,758,0,888498,250,36,155
759,759,0,888498,250,36,155
760,760,0,888498,250,36,155
761,761,0,888498,250,36,155
762,762,0,888498,250,36,155
763,763,0,888498,250,36,155
764,764,0,888498,250,36,155
765,765,0,888498,250,36,155
766,766,0,888498,250,36,155
767,767,0,888498,250,36,155
768,768,0,888498,250,36,155
769,769,0,888498,250,36,155
770,770,0,888498,250,36,155
771,771,0,888498,250,36,155
772,772,0,888498,250,36,155
773,773,0,888498,250,36,155
774,774,0,888498,250,36,155
775,775,0,888498,250,36,155
776,776,0,888498,250,36,155
777,777,0,888498,250,36,155
778,778,0,888498,250,36,155
779,779,0,888498,250,36,155
780,780,0,888498,250,36,155
781,781,0,888498,250,36,155
782,782,0,888498,250,36,155
783,783,0,888498,250,36,155
784,784,0,888498,250,36,155
785,785,0,888498,250,36,155
786,786,0,888498,250,36,155
787,787,0,888498,250,36,155
788,788,0,888498,250,36,155
789,789,0,888498,250,36,155
790,790,0,888498,250,36,155
791,791,0,888498,250,36,155
792,792,0,888498,250,36,155
793,793,0,888498,250,36,155
794,794,0,888498,250,36,155
795,795,0,888498,250,36,155
796,796,0,888498,250,36,155
797,797,0,888498,250,36,155
798,798,0,888498,250,36,155
799,799,0,888498,250,36,155
800,800,0,888498,250,36,155
801,801,0,888498,250,36,155
802,802,0,888498,250,36,155
803,803,0,888498,250,36,155
804,804,0,888498,250,36,155
805,805,0,888498,250,36,155
806,806,0,888498,250,36,155
807,807,0,888498,250,36,155
808,808,0,888498,250,36,155
809,809,0,888498,250,36,155
810,810,0,888498,250,36,155
811,811,0,888498,250,36,155
812,812,0,888498,250,36,155
813,813,0,888498,250,36,155
814,814,0,888498,250,36,155
815,815,0,888498,250,36,155
816,816,0,888498,250,36,155
817,817,0,888498,250,36,155
818,818,0,888498,250,36,155
819,819,0,888498,250,36,155
820,820,0,888498,250,36,155
821,821,0,888498,250,36,155
822,822,0,888498,250,36,155
823,823,0,888498,250,36,155
824,824,0,888498,250,36,155
825,825,0,888498,250,36,155
826,826,0,888498,250,36,155
827,827,0,888498,250,36,155
828,828,0,888498,250,36,155
829,829,0,888498,250,36,155
830,830,0,888498,250,36,155
831,831,0,888498,250,36,155
832,832,0,888498,250,36,155
833,833,0,888498,250,36,155
834,834,0,888498,250,36,155
835,835,0,888498,250,36,155
836,836,0,888498,250,36,155
837,837,0,888498,250,36,155
838,838,0,888498,250,36,155
839,839,0,888498,250,36,155
840,840,0,888498,250,36,155
841,841,0,888498,250,36,155
842,842,0,888498,250,36,155
843,843,0,888498,250,36,155
844,844,0,888498,250,36,155
845,845,0,888498,250,36,155
846,846,0,888498,250,36,155
